date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-06-02 00:30:00+00:00,2023,Arsenal Sarandi,Boca Juniors,459,451,1,0,2
2023-06-02 22:00:00+00:00,2023,Estudiantes L.P.,Barracas Central,450,2432,5,2,2
2023-06-03 00:30:00+00:00,2023,Tigre,Talleres Cordoba,452,456,1,3,0
2023-06-03 00:30:00+00:00,2023,Argentinos JRS,Platense,458,1064,1,0,2
2023-06-03 17:00:00+00:00,2023,Belgrano Cordoba,Velez Sarsfield,440,438,2,0,2
2023-06-03 22:00:00+00:00,2023,Central Cordoba de Santiago,Huracan,1065,445,2,0,2
2023-06-03 22:00:00+00:00,2023,Rosario Central,Instituto Cordoba,437,478,4,1,2
2023-06-04 00:30:00+00:00,2023,Racing Club,Banfield,436,449,2,0,2
2023-06-04 14:00:00+00:00,2023,Union Santa Fe,Gimnasia L.P.,441,434,2,0,2
2023-06-04 17:00:00+00:00,2023,San Lorenzo,Colon Santa Fe,460,448,0,0,1
2023-06-04 20:00:00+00:00,2023,Godoy Cruz,Independiente,439,453,2,1,2
2023-06-05 00:30:00+00:00,2023,Lanus,Atletico Tucuman,446,455,2,1,2
2023-06-09 18:30:00+00:00,2023,Barracas Central,Rosario Central,2432,437,0,0,1
2023-06-09 23:00:00+00:00,2023,Independiente,Sarmiento Junin,453,474,2,0,2
2023-06-10 22:00:00+00:00,2023,Platense,Tigre,1064,452,1,0,2
2023-06-10 23:00:00+00:00,2023,Boca Juniors,Lanus,451,446,1,1,1
2023-06-11 00:30:00+00:00,2023,Talleres Cordoba,Arsenal Sarandi,456,459,1,0,2
2023-06-12 17:00:00+00:00,2023,Newells Old Boys,Union Santa Fe,457,441,1,1,1
2023-06-12 20:00:00+00:00,2023,San Lorenzo,Central Cordoba de Santiago,460,1065,0,0,1
2023-06-12 22:15:00+00:00,2023,Banfield,River Plate,449,435,1,4,0
